line,emotion,score
[♪ wistful music playing],fear,0.9126898050308228
[♪ exhilarating music playing],joy,0.9899235367774963
Let's play some hockey!,joy,0.6714611649513245
[audience cheering],joy,0.977969765663147
"This is Joy, coming to you",joy,0.8350217938423157
"live in Riley's mind,",neutral,0.8576005697250366
and we are expecting,surprise,0.7576049566268921
a great championship today,joy,0.9011245369911194
- <i>with the Foghorns.</i>,neutral,0.5173801779747009
- [girls chuckle],joy,0.8861047029495239
"Riley fans, get up on your feet,",neutral,0.8445128798484802
and make some noise!,anger,0.9470958709716797
"Go, go, go!",anger,0.8737501502037048
"- [all] Let's go, Foghorns!",joy,0.5044153332710266
- [rhythmic hand claps],neutral,0.7688621878623962
Bring it in!,anger,0.27751314640045166
Foghorns on three.,neutral,0.5798439979553223
"- One, two, three...",neutral,0.7209740281105042
- [all] Foghorns!,disgust,0.7253937721252441
[referee blows whistle],anger,0.7001533508300781
[players grunting],disgust,0.7927693724632263
[Riley panting],neutral,0.6158643364906311
"Now, it's time to greet",joy,0.7297195196151733
your Team Riley!,neutral,0.4240749180316925
"Playing in his 13th year,",joy,0.43534693121910095
"and fresh from the penalty box,",neutral,0.5185834765434265
it's Riley's Anger!,anger,0.9833424091339111
Let me at 'em! [roars],anger,0.6223863363265991
[growls],neutral,0.8287100195884705
- [Riley growling],anger,0.7303506135940552
- [players grunting],disgust,0.5466657280921936
- [all cheering],joy,0.9762252569198608
- Whoo!,surprise,0.8037703633308411
"Helmet, pads, gloves,",neutral,0.8792153000831604
safety checklist is complete.,neutral,0.9196892380714417
It should be nothing,neutral,0.4081595242023468
but smooth sailing from...,joy,0.648272693157196
[screams] Look out!,fear,0.5148018002510071
[Riley grunts],disgust,0.7054954171180725
"And that's Fear,",fear,0.9615886211395264
keeping Riley on her toes.,neutral,0.5490075945854187
We gotta get,neutral,0.7733888030052185
"our mouth guard, people.",neutral,0.6022495627403259
"No, no, no! That's not ours!",anger,0.6145902872085571
- [gags],joy,0.5680162906646729
"- And that, folks,",neutral,0.6566989421844482
- is the infamous Disgust.,disgust,0.9867253303527832
- [Disgust gagging],disgust,0.980295717716217
Glad to have her on our team.,joy,0.970881462097168
- [player grunts],neutral,0.4047834277153015
- [whistle blows],anger,0.7995517253875732
Twenty-eight.,neutral,0.7290052771568298
"Andersen, tripping.",neutral,0.6215065121650696
"- [Sadness] <i>Oh, no...</i>",sadness,0.9826093912124634
- [audience exclaiming],joy,0.7124682068824768
"And bringing up the rear,",neutral,0.8418366312980652
"you know her, you love her,",joy,0.7186594605445862
"the one, the only...",neutral,0.48999372124671936
Oh... We got a penalty.,sadness,0.33167579770088196
- [Sadness crying],sadness,0.9823794364929199
"- That's right,",neutral,0.8244926333427429
Sadness is in the house!,sadness,0.9799282550811768
Yay...,joy,0.8623514175415039
[female announcer],neutral,0.8045559525489807
<i>Andersen goes to the box.</i>,neutral,0.920606791973114
<i>Two minutes for tripping.</i>,neutral,0.7180843353271484
"[Joy] <i>Okay, looks like",neutral,0.7490535974502563
we have a couple of minutes</i>,neutral,0.9359949827194214
<i>while Riley takes a breather.</i>,neutral,0.4599352777004242
<i>Let me catch you up.</i>,neutral,0.9012075066566467
<i>Riley is still exceptional.</i>,neutral,0.8529356122016907
[Riley] Ta-da!,anger,0.30519717931747437
Oh. Yum.,disgust,0.8817561864852905
[Joy] <i>And not just because,neutral,0.6566238403320312
she's the top</i>,neutral,0.5362793803215027
- <i>of her class...</i>,neutral,0.6418048739433289
