time,line,emotion,score
3.408,[♪ wistful music playing],fear,0.9126898050308228
48.63,[♪ exhilarating music playing],joy,0.9899235367774963
80.194,Let's play some hockey!,joy,0.6714611649513245
84.532,[audience cheering],joy,0.977969765663147
90.671,"This is Joy, coming to you live in Riley's mind,",joy,0.6195790767669678
94.448,and we are expecting a great championship today,joy,0.8215335011482239
97.286,- <i>with the Foghorns.</i> - [girls chuckle],joy,0.9669831395149231
99.158,"Riley fans, get up on your feet,",neutral,0.8445128798484802
101.268,and make some noise!,anger,0.9470958709716797
104.47,"Go, go, go!",anger,0.8737501502037048
105.811,"- [all] Let's go, Foghorns! - [rhythmic hand claps]",neutral,0.40524613857269287
109.282,Bring it in!,anger,0.27751314640045166
110.417,Foghorns on three.,neutral,0.5798439979553223
111.655,"- One, two, three... - [all] Foghorns!",neutral,0.34835541248321533
113.589,[referee blows whistle],anger,0.7001533508300781
118.928,[players grunting],disgust,0.7927693724632263
120.469,[Riley panting],neutral,0.6158643364906311
121.609,"Now, it's time to greet your Team Riley!",joy,0.854349672794342
126.649,"Playing in his 13th year,",joy,0.43534693121910095
128.246,"and fresh from the penalty box,",neutral,0.5185834765434265
130.116,it's Riley's Anger!,anger,0.9833424091339111
132.12,Let me at 'em! [roars],anger,0.6223863363265991
134.066,[growls],neutral,0.8287100195884705
135.23,- [Riley growling] - [players grunting],disgust,0.46348312497138977
138.165,- [all cheering] - Whoo!,joy,0.9523054361343384
141.578,"Helmet, pads, gloves,",neutral,0.8792153000831604
143.21,safety checklist is complete.,neutral,0.9196892380714417
145.482,It should be nothing but smooth sailing from...,neutral,0.6830006837844849
147.491,[screams] Look out!,fear,0.5148018002510071
149.263,[Riley grunts],disgust,0.7054954171180725
150.491,"And that's Fear, keeping Riley on her toes.",fear,0.9179489612579346
152.669,"We gotta get our mouth guard, people.",neutral,0.5347373485565186
156.51,"No, no, no! That's not ours!",anger,0.6145902872085571
158.581,"- [gags] - And that, folks,",joy,0.553848147392273
160.082,- is the infamous Disgust. - [Disgust gagging],disgust,0.9885538816452026
162.214,Glad to have her on our team.,joy,0.970881462097168
164.559,- [player grunts] - [whistle blows],anger,0.6011221408843994
165.927,"Twenty-eight. Andersen, tripping.",neutral,0.8251439929008484
168.032,"- [Sadness] <i>Oh, no...</i> - [audience exclaiming]",sadness,0.9769552946090698
169.535,"And bringing up the rear,",neutral,0.8418366312980652
171.264,"you know her, you love her,",joy,0.7186594605445862
